fare_id,route_id,origin_id,destination_id,contains_id
"OW_1_20110701","ct_bullet_20110701","1","1",
"OW_1_20110701","ct_limited_20110701","1","1",
"OW_1_20110701","ct_local_20110701","1","1",
"OW_2_20110701","ct_bullet_20110701","1","2",
"OW_2_20110701","ct_limited_20110701","1","2",
"OW_2_20110701","ct_local_20110701","1","2",
"OW_3_20110701","ct_bullet_20110701","1","3",
"OW_3_20110701","ct_limited_20110701","1","3",
"OW_3_20110701","ct_local_20110701","1","3",
"OW_4_20110701","ct_bullet_20110701","1","4",
"OW_4_20110701","ct_limited_20110701","1","4",
"OW_4_20110701","ct_local_20110701","1","4",
"OW_5_20110701","ct_bullet_20110701","1","5",
"OW_5_20110701","ct_limited_20110701","1","5",
"OW_5_20110701","ct_local_20110701","1","5",
"OW_6_20110701","ct_bullet_20110701","1","6",
"OW_6_20110701","ct_limited_20110701","1","6",
"OW_6_20110701","ct_local_20110701","1","6",
"OW_2_20110701","ct_bullet_20110701","2","1",
"OW_2_20110701","ct_limited_20110701","2","1",
"OW_2_20110701","ct_local_20110701","2","1",
"OW_1_20110701","ct_bullet_20110701","2","2",
"OW_1_20110701","ct_limited_20110701","2","2",
"OW_1_20110701","ct_local_20110701","2","2",
"OW_2_20110701","ct_bullet_20110701","2","3",
"OW_2_20110701","ct_limited_20110701","2","3",
"OW_2_20110701","ct_local_20110701","2","3",
"OW_3_20110701","ct_bullet_20110701","2","4",
"OW_3_20110701","ct_limited_20110701","2","4",
"OW_3_20110701","ct_local_20110701","2","4",
"OW_4_20110701","ct_bullet_20110701","2","5",
"OW_4_20110701","ct_limited_20110701","2","5",
"OW_4_20110701","ct_local_20110701","2","5",
"OW_5_20110701","ct_bullet_20110701","2","6",
"OW_5_20110701","ct_limited_20110701","2","6",
"OW_5_20110701","ct_local_20110701","2","6",
"OW_3_20110701","ct_bullet_20110701","3","1",
"OW_3_20110701","ct_limited_20110701","3","1",
"OW_3_20110701","ct_local_20110701","3","1",
"OW_2_20110701","ct_bullet_20110701","3","2",
"OW_2_20110701","ct_limited_20110701","3","2",
"OW_2_20110701","ct_local_20110701","3","2",
"OW_1_20110701","ct_bullet_20110701","3","3",
"OW_1_20110701","ct_limited_20110701","3","3",
"OW_1_20110701","ct_local_20110701","3","3",
"OW_2_20110701","ct_bullet_20110701","3","4",
"OW_2_20110701","ct_limited_20110701","3","4",
"OW_2_20110701","ct_local_20110701","3","4",
"OW_3_20110701","ct_bullet_20110701","3","5",
"OW_3_20110701","ct_limited_20110701","3","5",
"OW_3_20110701","ct_local_20110701","3","5",
"OW_4_20110701","ct_bullet_20110701","3","6",
"OW_4_20110701","ct_limited_20110701","3","6",
"OW_4_20110701","ct_local_20110701","3","6",
"OW_4_20110701","ct_bullet_20110701","4","1",
"OW_4_20110701","ct_limited_20110701","4","1",
"OW_4_20110701","ct_local_20110701","4","1",
"OW_3_20110701","ct_bullet_20110701","4","2",
"OW_3_20110701","ct_limited_20110701","4","2",
"OW_3_20110701","ct_local_20110701","4","2",
"OW_2_20110701","ct_bullet_20110701","4","3",
"OW_2_20110701","ct_limited_20110701","4","3",
"OW_2_20110701","ct_local_20110701","4","3",
"OW_1_20110701","ct_bullet_20110701","4","4",
"OW_1_20110701","ct_limited_20110701","4","4",
"OW_1_20110701","ct_local_20110701","4","4",
"OW_2_20110701","ct_bullet_20110701","4","5",
"OW_2_20110701","ct_limited_20110701","4","5",
"OW_2_20110701","ct_local_20110701","4","5",
"OW_3_20110701","ct_bullet_20110701","4","6",
"OW_3_20110701","ct_limited_20110701","4","6",
"OW_3_20110701","ct_local_20110701","4","6",
"OW_5_20110701","ct_bullet_20110701","5","1",
"OW_5_20110701","ct_limited_20110701","5","1",
"OW_5_20110701","ct_local_20110701","5","1",
"OW_4_20110701","ct_bullet_20110701","5","2",
"OW_4_20110701","ct_limited_20110701","5","2",
"OW_4_20110701","ct_local_20110701","5","2",
"OW_3_20110701","ct_bullet_20110701","5","3",
"OW_3_20110701","ct_limited_20110701","5","3",
"OW_3_20110701","ct_local_20110701","5","3",
"OW_2_20110701","ct_bullet_20110701","5","4",
"OW_2_20110701","ct_limited_20110701","5","4",
"OW_2_20110701","ct_local_20110701","5","4",
"OW_1_20110701","ct_bullet_20110701","5","5",
"OW_1_20110701","ct_limited_20110701","5","5",
"OW_1_20110701","ct_local_20110701","5","5",
"OW_2_20110701","ct_bullet_20110701","5","6",
"OW_2_20110701","ct_limited_20110701","5","6",
"OW_2_20110701","ct_local_20110701","5","6",
"OW_6_20110701","ct_bullet_20110701","6","1",
"OW_6_20110701","ct_limited_20110701","6","1",
"OW_6_20110701","ct_local_20110701","6","1",
"OW_5_20110701","ct_bullet_20110701","6","2",
"OW_5_20110701","ct_limited_20110701","6","2",
"OW_5_20110701","ct_local_20110701","6","2",
"OW_4_20110701","ct_bullet_20110701","6","3",
"OW_4_20110701","ct_limited_20110701","6","3",
"OW_4_20110701","ct_local_20110701","6","3",
"OW_3_20110701","ct_bullet_20110701","6","4",
"OW_3_20110701","ct_limited_20110701","6","4",
"OW_3_20110701","ct_local_20110701","6","4",
"OW_2_20110701","ct_bullet_20110701","6","5",
"OW_2_20110701","ct_limited_20110701","6","5",
"OW_2_20110701","ct_local_20110701","6","5",
"OW_1_20110701","ct_bullet_20110701","6","6",
"OW_1_20110701","ct_limited_20110701","6","6",
"OW_1_20110701","ct_local_20110701","6","6",
"OW_1_20120701","ct_bullet_20120701","1","1",
"OW_2_20120701","ct_bullet_20120701","1","2",
"OW_3_20120701","ct_bullet_20120701","1","3",
"OW_4_20120701","ct_bullet_20120701","1","4",
"OW_5_20120701","ct_bullet_20120701","1","5",
"OW_6_20120701","ct_bullet_20120701","1","6",
"OW_2_20120701","ct_bullet_20120701","2","1",
"OW_1_20120701","ct_bullet_20120701","2","2",
"OW_2_20120701","ct_bullet_20120701","2","3",
"OW_3_20120701","ct_bullet_20120701","2","4",
"OW_4_20120701","ct_bullet_20120701","2","5",
"OW_5_20120701","ct_bullet_20120701","2","6",
"OW_3_20120701","ct_bullet_20120701","3","1",
"OW_2_20120701","ct_bullet_20120701","3","2",
"OW_1_20120701","ct_bullet_20120701","3","3",
"OW_2_20120701","ct_bullet_20120701","3","4",
"OW_3_20120701","ct_bullet_20120701","3","5",
"OW_4_20120701","ct_bullet_20120701","3","6",
"OW_4_20120701","ct_bullet_20120701","4","1",
"OW_3_20120701","ct_bullet_20120701","4","2",
"OW_2_20120701","ct_bullet_20120701","4","3",
"OW_1_20120701","ct_bullet_20120701","4","4",
"OW_2_20120701","ct_bullet_20120701","4","5",
"OW_3_20120701","ct_bullet_20120701","4","6",
"OW_5_20120701","ct_bullet_20120701","5","1",
"OW_4_20120701","ct_bullet_20120701","5","2",
"OW_3_20120701","ct_bullet_20120701","5","3",
"OW_2_20120701","ct_bullet_20120701","5","4",
"OW_1_20120701","ct_bullet_20120701","5","5",
"OW_2_20120701","ct_bullet_20120701","5","6",
"OW_6_20120701","ct_bullet_20120701","6","1",
"OW_5_20120701","ct_bullet_20120701","6","2",
"OW_4_20120701","ct_bullet_20120701","6","3",
"OW_3_20120701","ct_bullet_20120701","6","4",
"OW_2_20120701","ct_bullet_20120701","6","5",
"OW_1_20120701","ct_bullet_20120701","6","6",
"OW_1_20120701","ct_bullet_20120701","1","1",
"OW_2_20120701","ct_bullet_20120701","1","2",
"OW_3_20120701","ct_bullet_20120701","1","3",
"OW_4_20120701","ct_bullet_20120701","1","4",
"OW_5_20120701","ct_bullet_20120701","1","5",
"OW_6_20120701","ct_bullet_20120701","1","6",
"OW_2_20120701","ct_bullet_20120701","2","1",
"OW_1_20120701","ct_bullet_20120701","2","2",
"OW_2_20120701","ct_bullet_20120701","2","3",
"OW_3_20120701","ct_bullet_20120701","2","4",
"OW_4_20120701","ct_bullet_20120701","2","5",
"OW_5_20120701","ct_bullet_20120701","2","6",
"OW_3_20120701","ct_bullet_20120701","3","1",
"OW_2_20120701","ct_bullet_20120701","3","2",
"OW_1_20120701","ct_bullet_20120701","3","3",
"OW_2_20120701","ct_bullet_20120701","3","4",
"OW_3_20120701","ct_bullet_20120701","3","5",
"OW_4_20120701","ct_bullet_20120701","3","6",
"OW_4_20120701","ct_bullet_20120701","4","1",
"OW_3_20120701","ct_bullet_20120701","4","2",
"OW_2_20120701","ct_bullet_20120701","4","3",
"OW_1_20120701","ct_bullet_20120701","4","4",
"OW_2_20120701","ct_bullet_20120701","4","5",
"OW_3_20120701","ct_bullet_20120701","4","6",
"OW_5_20120701","ct_bullet_20120701","5","1",
"OW_4_20120701","ct_bullet_20120701","5","2",
"OW_3_20120701","ct_bullet_20120701","5","3",
"OW_2_20120701","ct_bullet_20120701","5","4",
"OW_1_20120701","ct_bullet_20120701","5","5",
"OW_2_20120701","ct_bullet_20120701","5","6",
"OW_6_20120701","ct_bullet_20120701","6","1",
"OW_5_20120701","ct_bullet_20120701","6","2",
"OW_4_20120701","ct_bullet_20120701","6","3",
"OW_3_20120701","ct_bullet_20120701","6","4",
"OW_2_20120701","ct_bullet_20120701","6","5",
"OW_1_20120701","ct_bullet_20120701","6","6",
"OW_1_20120701","ct_bullet_20120701","1","1",
"OW_2_20120701","ct_bullet_20120701","1","2",
"OW_3_20120701","ct_bullet_20120701","1","3",
"OW_4_20120701","ct_bullet_20120701","1","4",
"OW_5_20120701","ct_bullet_20120701","1","5",
"OW_6_20120701","ct_bullet_20120701","1","6",
"OW_2_20120701","ct_bullet_20120701","2","1",
"OW_1_20120701","ct_bullet_20120701","2","2",
"OW_2_20120701","ct_bullet_20120701","2","3",
"OW_3_20120701","ct_bullet_20120701","2","4",
"OW_4_20120701","ct_bullet_20120701","2","5",
"OW_5_20120701","ct_bullet_20120701","2","6",
"OW_3_20120701","ct_bullet_20120701","3","1",
"OW_2_20120701","ct_bullet_20120701","3","2",
"OW_1_20120701","ct_bullet_20120701","3","3",
"OW_2_20120701","ct_bullet_20120701","3","4",
"OW_3_20120701","ct_bullet_20120701","3","5",
"OW_4_20120701","ct_bullet_20120701","3","6",
"OW_4_20120701","ct_bullet_20120701","4","1",
"OW_3_20120701","ct_bullet_20120701","4","2",
"OW_2_20120701","ct_bullet_20120701","4","3",
"OW_1_20120701","ct_bullet_20120701","4","4",
"OW_2_20120701","ct_bullet_20120701","4","5",
"OW_3_20120701","ct_bullet_20120701","4","6",
"OW_5_20120701","ct_bullet_20120701","5","1",
"OW_4_20120701","ct_bullet_20120701","5","2",
"OW_3_20120701","ct_bullet_20120701","5","3",
"OW_2_20120701","ct_bullet_20120701","5","4",
"OW_1_20120701","ct_bullet_20120701","5","5",
"OW_2_20120701","ct_bullet_20120701","5","6",
"OW_6_20120701","ct_bullet_20120701","6","1",
"OW_5_20120701","ct_bullet_20120701","6","2",
